run_id,test_id,method,path,failure_detail,manual_label
5d5da405,get_post_valid,GET,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
5d5da405,get_post_non_existent,GET,/posts/00000000-0000-0000-0000-000000000002,"Expected status 422, got 404; Key 'detail': expected array, got str",product_bug
5d5da405,update_post_valid,PUT,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
5d5da405,delete_post_valid,DELETE,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404",product_bug
5d5da405,delete_post_non_existent,DELETE,/posts/00000000-0000-0000-0000-000000000002,"Expected status 422, got 404; Key 'detail': expected array, got str",product_bug
5d5da405,list_comments_for_post_valid,GET,/posts/00000000-0000-0000-0000-000000000001/comments,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
5d5da405,list_comments_for_post_non_existent,GET,/posts/00000000-0000-0000-0000-000000000002/comments,"Expected status 422, got 404; Key 'detail': expected array, got str",product_bug
5d5da405,get_comment_valid,GET,/comments/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
5d5da405,get_comment_non_existent,GET,/comments/00000000-0000-0000-0000-000000000002,"Expected status 422, got 404; Key 'detail': expected array, got str",product_bug
bfd4b190,get_post_valid_id,GET,/posts/{post_id},"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
bfd4b190,update_post_valid_id,PUT,/posts/{post_id},"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
bfd4b190,delete_post_valid_id,DELETE,/posts/{post_id},"Expected status 200, got 404",product_bug
bfd4b190,list_comments_for_post_valid_post_id,GET,/posts/{post_id}/comments,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
bfd4b190,get_comment_valid_id,GET,/comments/{comment_id},"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
f0416b42,get_post_happy_path,GET,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
f0416b42,get_post_non_existent,GET,/posts/00000000-0000-0000-0000-000000000002,"Expected status 422, got 404",product_bug
f0416b42,update_post_happy_path,PUT,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'title' in response body; Missing key 'body' in response body; Missing key 'author' in response body; Missing key 'created_at' in response body",product_bug
f0416b42,delete_post_happy_path,DELETE,/posts/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404",product_bug
f0416b42,list_comments_for_post_happy_path,GET,/posts/00000000-0000-0000-0000-000000000001/comments,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
f0416b42,get_comment_happy_path,GET,/comments/00000000-0000-0000-0000-000000000001,"Expected status 200, got 404; Missing key 'id' in response body; Missing key 'post_id' in response body; Missing key 'body' in response body; Missing key 'commenter' in response body; Missing key 'created_at' in response body",product_bug
f0416b42,get_comment_non_existent,GET,/comments/00000000-0000-0000-0000-000000000002,"Expected status 422, got 404",product_bug
